tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36047010200,212,145,166,105,66,152,171,89,117,44,57,73
36047010400,212,145,166,105,66,152,171,89,117,44,57,73
36047010600,212,145,166,105,66,152,171,89,117,44,57,73
36047010800,212,145,166,105,66,152,171,89,117,44,57,73
36047011000,212,145,166,105,66,152,171,89,117,44,57,73
36047011200,212,145,166,105,66,152,171,89,117,44,57,73
36047011400,212,145,166,105,66,152,171,89,117,44,57,73
36047011600,212,145,166,105,66,152,171,89,117,44,57,73
36047011700,212,145,166,105,66,152,171,89,117,44,57,73
36047011800,212,145,166,105,66,152,171,89,117,44,57,73
36047011900,212,145,166,105,66,152,171,89,117,44,57,73
36047012000,212,145,166,105,66,152,171,89,117,44,57,73
36047012100,212,145,166,105,66,152,171,89,117,44,57,73
36047012200,212,145,166,105,66,152,171,89,117,44,57,73
36047012600,212,145,166,105,66,152,171,89,117,44,57,73
36047012700,212,145,166,105,66,152,171,89,117,44,57,73
36047012801,212,145,166,105,66,152,171,89,117,44,57,73
36047012901,212,145,166,105,66,152,171,89,117,44,57,73
36047012902,212,145,166,105,66,152,171,89,117,44,57,73
36047013000,212,145,166,105,66,152,171,89,117,44,57,73
36047013100,212,145,166,105,66,152,171,89,117,44,57,73
36047013200,212,145,166,105,66,152,171,89,117,44,57,73
36047013300,212,145,166,105,66,152,171,89,117,44,57,73
36047013400,212,145,166,105,66,152,171,89,117,44,57,73
36047013500,212,145,166,105,66,152,171,89,117,44,57,73
36047013600,212,145,166,105,66,152,171,89,117,44,57,73
36047013700,212,145,166,105,66,152,171,89,117,44,57,73
36047013800,212,145,166,105,66,152,171,89,117,44,57,73
36047013900,212,145,166,105,66,152,171,89,117,44,57,73
36047014000,212,145,166,105,66,152,171,89,117,44,57,73
36047014100,212,145,166,105,66,152,171,89,117,44,57,73
36047014200,212,145,166,105,66,152,171,89,117,44,57,73
36047014300,212,145,166,105,66,152,171,89,117,44,57,73
36047014500,212,145,166,105,66,152,171,89,117,44,57,73
36047014700,212,145,166,105,66,152,171,89,117,44,57,73
36047014800,212,145,166,105,66,152,171,89,117,44,57,73
36047014900,212,145,166,105,66,152,171,89,117,44,57,73
36047015000,212,145,166,105,66,152,171,89,117,44,57,73
36047015100,212,145,166,105,66,152,171,89,117,44,57,73
36047015200,212,145,166,105,66,152,171,89,117,44,57,73
36047015300,212,145,166,105,66,152,171,89,117,44,57,73
36047015400,212,145,166,105,66,152,171,89,117,44,57,73
36047015500,212,145,166,105,66,152,171,89,117,44,57,73
36047015700,212,145,166,105,66,152,171,89,117,44,57,73
36047015900,212,145,166,105,66,152,171,89,117,44,57,73
36047016000,212,145,166,105,66,152,171,89,117,44,57,73
36047016100,212,145,166,105,66,152,171,89,117,44,57,73
36047016200,212,145,166,105,66,152,171,89,117,44,57,73
36047016300,212,145,166,105,66,152,171,89,117,44,57,73
36047016400,212,145,166,105,66,152,171,89,117,44,57,73
36047016500,212,145,166,105,66,152,171,89,117,44,57,73
36047016600,212,145,166,105,66,152,171,89,117,44,57,73
36047016700,212,145,166,105,66,152,171,89,117,44,57,73
36047016800,212,145,166,105,66,152,171,89,117,44,57,73
36047016900,212,145,166,105,66,152,171,89,117,44,57,73
36047017000,212,145,166,105,66,152,171,89,117,44,57,73
36047017100,212,145,166,105,66,152,171,89,117,44,57,73
36047017200,212,145,166,105,66,152,171,89,117,44,57,73
36047017400,212,145,166,105,66,152,171,89,117,44,57,73
36047017500,212,145,166,105,66,152,171,89,117,44,57,73
36047017600,212,145,166,105,66,152,171,89,117,44,57,73
36047017700,212,145,166,105,66,152,171,89,117,44,57,73
36047017800,212,145,166,105,66,152,171,89,117,44,57,73
36047017900,212,145,166,105,66,152,171,89,117,44,57,73
